date,horizon_trading_days,with_emergency_return,without_emergency_return,effect
2025-05-20,21,0.07376447221945681,0.07376447221945681,0.0
2025-05-21,1,-0.028400150390218037,-0.028400150390218037,0.0
2025-05-21,2,-0.027417587526839204,-0.027417587526839204,0.0
2025-05-21,5,-0.013202492452043524,-0.013202492452043524,0.0
2025-05-21,10,0.023077919428602822,0.023077919428602822,0.0
2025-05-21,21,0.08328286265724372,0.08328286265724372,0.0
2025-05-22,1,0.0010112834658975167,0.0010112834658975167,0.0
2025-05-22,2,-0.018214693602689125,-0.018214693602689125,0.0
2025-05-22,5,0.02136729026967643,0.02136729026967643,0.0
2025-05-22,10,0.03702001791507259,0.03702001791507259,0.0
2025-05-22,21,0.1015499515588929,0.1015499515588929,0.0
2025-05-23,1,-0.019206553798293502,-0.019206553798293502,0.0
2025-05-23,2,0.027078073220016208,0.027078073220016208,0.0
2025-05-23,5,0.014737359884409607,0.014737359884409607,0.0
2025-05-23,10,0.06089774683390803,0.06089774683390803,0.0
2025-05-23,21,0.08976735427348603,0.08976735427348603,0.0
2025-05-27,1,0.04719100356711703,0.04719100356711703,0.0
2025-05-27,2,0.034484712031911835,0.034484712031911835,0.0
2025-05-27,5,0.05392130785318128,0.05392130785318128,0.0
2025-05-27,10,0.08349421456399875,0.08349421456399875,0.0
2025-05-27,21,0.10251565959028919,0.10251565959028919,0.0
2025-05-28,1,-0.01213369050337798,-0.01213369050337798,0.0
2025-05-28,2,-0.006564867353531567,-0.006564867353531567,0.0
2025-05-28,5,0.02511778961934752,0.02511778961934752,0.0
2025-05-28,10,0.055279123828819055,0.055279123828819055,0.0
2025-05-28,21,0.07038688319572817,0.07038688319572817,0.0
2025-05-29,1,0.0056372234747879,0.0056372234747879,0.0
2025-05-29,2,0.00011978339442930697,0.00011978339442930697,0.0
2025-05-29,5,0.03676581223922826,0.03676581223922826,0.0
2025-05-29,10,0.07716001899103708,0.07716001899103708,0.0
2025-05-29,21,0.07915006273611991,0.07915006273611991,0.0
2025-05-30,1,-0.005486511389558579,-0.005486511389558579,0.0
2025-05-30,2,0.013077728263734656,0.013077728263734656,0.0
2025-05-30,5,0.015325268191488384,0.015325268191488384,0.0
2025-05-30,10,0.07614778184590953,0.07614778184590953,0.0
2025-05-30,21,0.06730218599330984,0.06730218599330984,0.0
2025-06-02,1,0.018666654465623767,0.018666654465623767,0.0
2025-06-02,2,0.037584744397049175,0.037584744397049175,0.0
2025-06-02,5,0.045489984674218276,0.045489984674218276,0.0
2025-06-02,10,0.08939849145843048,0.08939849145843048,0.0
2025-06-02,21,0.09202366538268913,0.09202366538268913,0.0
2025-06-03,1,0.01857142358443986,0.01857142358443986,0.0
2025-06-03,2,0.01764560098279988,0.01764560098279988,0.0
2025-06-03,5,0.028059881217371796,0.028059881217371796,0.0
2025-06-03,10,0.07620148578777663,0.07620148578777663,0.0
2025-06-03,21,0.09314329708035185,0.09314329708035185,0.0
2025-06-04,1,-0.0009089422500995203,-0.0009089422500995203,0.0
2025-06-04,2,-0.01605473761248144,-0.01605473761248144,0.0
2025-06-04,5,0.029422310796763496,0.029422310796763496,0.0
2025-06-04,10,0.058440284286640276,0.058440284286640276,0.0
2025-06-04,21,0.07480585443103971,0.07480585443103971,0.0
2025-06-05,1,-0.015159574540175025,-0.015159574540175025,0.0
2025-06-05,2,0.008535586985727317,0.008535586985727317,0.0
2025-06-05,5,0.03896174649563755,0.03896174649563755,0.0
2025-06-05,10,0.05289388093634306,0.05289388093634306,0.0
2025-06-05,21,0.061951300025275824,0.061951300025275824,0.0
2025-06-06,1,0.02405989936373598,0.02405989936373598,0.0
2025-06-06,2,0.02578415175062343,0.02578415175062343,0.0
2025-06-06,5,0.0599044617128055,0.0599044617128055,0.0
2025-06-06,10,0.07514563000027663,0.07514563000027663,0.0
2025-06-06,21,0.1066887855834433,0.1066887855834433,0.0
2025-06-09,1,0.0016837417303019464,0.0016837417303019464,0.0
2025-06-09,2,0.021638562666394856,0.021638562666394856,0.0
2025-06-09,5,0.04199801760692612,0.04199801760692612,0.0
2025-06-09,10,0.03726970954628106,0.03726970954628106,0.0
2025-06-09,21,0.08833253110026718,0.08833253110026718,0.0
2025-06-10,1,0.019921278647912377,0.019921278647912377,0.0
2025-06-10,2,0.02843703000909059,0.02843703000909059,0.0
2025-06-10,5,0.04682762692130171,0.04682762692130171,0.0
2025-06-10,10,0.025485778466255438,0.025485778466255438,0.0
2025-06-10,21,0.09828972990723583,0.09828972990723583,0.0
2025-06-11,1,0.0083494202341452,0.0083494202341452,0.0
2025-06-11,2,0.013080795653751087,0.013080795653751087,0.0
2025-06-11,5,0.02818859974718957,0.02818859974718957,0.0
2025-06-11,10,-0.0023194229447516257,-0.0023194229447516257,0.0
2025-06-11,21,0.07039312182770141,0.07039312182770141,0.0
2025-06-12,1,0.004692198284308224,0.004692198284308224,0.0
2025-06-12,2,0.011482940416014609,0.011482940416014609,0.0
2025-06-12,5,0.013409670267166218,0.013409670267166218,0.0
2025-06-12,10,0.005917535123155293,0.005917535123155293,0.0
2025-06-12,21,0.04972047946495395,0.04972047946495395,0.0
2025-06-13,1,0.0067590274347733015,0.0067590274347733015,0.0
2025-06-13,2,0.013128284765679732,0.013128284765679732,0.0
2025-06-13,5,0.01437975670263869,0.01437975670263869,0.0
2025-06-13,10,-0.0028314214109916858,-0.0028314214109916858,0.0
2025-06-13,21,0.04155305042468305,0.04155305042468305,0.0
2025-06-16,1,0.006326496368386447,0.006326496368386447,0.0
2025-06-16,2,0.008098965109499145,0.008098965109499145,0.0
2025-06-16,5,-0.0045377322996296154,-0.0045377322996296154,0.0
2025-06-16,10,-0.014878150673449109,-0.014878150673449109,0.0
2025-06-16,21,0.033567407172415686,0.033567407172415686,0.0
2025-06-17,1,0.0017613257203394905,0.0017613257203394905,0.0
2025-06-17,2,-0.004393842243897272,-0.004393842243897272,0.0
2025-06-17,5,-0.020387165858253287,-0.020387165858253287,0.0
2025-06-17,10,-0.0038921265984511733,-0.0038921265984511733,0.0
2025-06-17,21,0.03710959499424549,0.03710959499424549,0.0
2025-06-18,1,-0.00614434576999745,-0.00614434576999745,0.0
2025-06-18,2,-0.0005251456123465115,-0.0005251456123465115,0.0
