date,turnover,raw_budget,total_budget_before_vol,realized_vol_now,vol_scale,total_budget_before_conviction,total_budget,tech_state,industrial_state,energy_state,transition_instability_z,opportunity_stability_z,leader_flip_4,signal_entropy,danger_transition,score_gap_inferred,instability_penalty,opportunity_bonus,conviction_scale,score_TQQQ,score_UXI,score_ERX,target_TQQQ,target_UXI,target_ERX,allowed_TQQQ,allowed_UXI,allowed_ERX,exec_w_TQQQ,exec_w_UXI,exec_w_ERX,exec_w_QQQM,exec_w_XLE,exec_w_XSOE,exec_w_XLI,exec_w_XLB,exec_w_BIL,budget_reason
2025-01-28,1.2,0.2177858520052778,0.2177858520052778,0.1361750050672662,1.0,0.2177858520052778,0.1577566067617995,-0.9044038491011936,0.6732201302012832,0.6541432192588431,0.27203604311906493,-0.8053389308343653,0.5,0.37561496315083553,0.4407382062802948,0.0040275589293962,0.584201467024577,0.25820119819409637,0.7243657258230735,0.0,0.0,0.242370076044357,0.0,0.0,0.1577566067617995,False,False,True,0.0,0.0,0.1577566067617995,0.0,0.4422433932382005,0.0,0.0,0.4,0.0,
2025-02-11,1.2,0.2660021537784357,0.2660021537784357,0.12780615609686252,1.0,0.2660021537784357,0.2023652974002961,-0.3938291449326975,0.5393135610088737,0.14141595355096775,0.2511786626342744,0.09085034451089999,0.75,0.37561496315083553,0.0,0.0017498578975946,0.5778548080345576,0.4602963539619805,0.7607656348860039,0.0,0.39658033952283966,0.0,0.0,0.2023652974002961,0.0,False,True,False,0.0,0.2023652974002961,0.0,0.0,0.0,0.0,0.19763470259970392,0.6,0.0,
2025-02-26,0.8,0.48538569012579136,0.48538569012579136,0.12223154238932041,1.0,0.48538569012579136,0.3839181913421989,0.6607810142912992,0.8519043655296654,-0.4689245435317649,0.042070588961581654,0.7019647349457683,0.75,0.37561496315083553,0.0,0.0043988055359946,0.5131440300141155,0.6111062656143587,0.7909549027757774,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,
2025-03-12,1.2,0.07715533196829766,0.07715533196829766,0.16474309467007775,1.0,0.07715533196829766,0.03857766598414883,-0.5751329573053092,1.1834864224840957,-0.07163008117279152,1.858616181830693,-1.0901870829610394,0.75,0.37561496315083553,1.952005185437778,0.0027817781307463,0.9107860196849948,0.20747929451863031,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,
2025-03-26,2.0,0.4313928060592496,0.4313928060592496,0.1860978012639865,1.0,0.4313928060592496,0.3417529817018355,-0.4267243656075341,1.871039824288791,0.7857764726074102,-0.056940477531578965,-0.07416025407744693,0.75,-0.0,0.0,0.0037534082796686,0.48221360890791776,0.41966219799493293,0.7922083467819754,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2025-04-09,2.0,0.2,0.2,0.4246672240253416,0.65,0.13,0.09515462139373224,-0.2309358524502409,-0.970373508183457,-0.11113230180792162,0.4928223195288564,-0.22102001118645384,0.75,0.37561496315083553,0.0,0.0003167308616355,0.6493146181370365,0.38437484907190744,0.7319586261056326,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,
2025-04-24,1.2,0.12329240170639016,0.12329240170639016,0.4519865042611499,0.65,0.08014006110915362,0.05651673836042252,-0.48162166764765363,0.05843492120476947,-0.36498941659384376,0.3884638518707221,-0.7390092460043305,1.0,0.37561496315083553,0.11658233480681723,7.281941183504004e-05,0.6190645982714583,0.2711078145258945,0.7052245478506026,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,
2025-05-08,1.2391893276206254,0.7457546234531982,0.7457546234531982,0.3770529335580334,0.65,0.48474050524457885,0.31959466381031265,2.004552214867639,-0.14280051929999107,0.4923313947257681,2.1243968652676957,2.786466997389945,0.75,0.340929858357647,0.0,0.0084825547516599,0.9343489315683098,0.9266590781878535,0.6593108278604842,5.6974579700229615,0.0,0.0,0.31959466381031265,0.0,0.0,True,False,False,0.31959466381031265,0.0,0.0,0.3804053361896873,0.0,0.0,0.3,0.0,0.0,
2025-05-22,1.175768443268214,0.6960726783651313,0.6960726783651313,0.22282558638836747,0.9873192911363299,0.6872459833828279,0.6169855587897891,1.8448709767912361,-0.9081911206302525,0.29709868334644524,-0.7272735256823176,2.273536006963687,0.5,0.340929858357647,0.05882068067336039,0.0090969160911699,0.2871856970793529,0.8832461450590358,0.8977652452078422,5.348155261730829,0.0,0.08369536175137675,0.6074788854444196,0.0,0.009506673345369452,True,False,True,0.6074788854444196,0.0,0.009506673345369452,0.09252111455558032,0.2904933266546305,0.0,0.0,0.0,0.0,
2025-06-06,0.7999999999999999,0.6224937183259077,0.6224937183259077,0.21392189309610027,1.0,0.6224937183259077,0.5311211965008484,1.3809896244929716,-0.06531468079081894,1.0755556056349318,-0.4161011100605243,1.595207580112559,0.5,0.340929858357647,0.15963961705008517,0.005503218124405,0.3728226805194735,0.7933450217241211,0.8532153511993819,1.8571777729621608,0.0,0.38601112338055826,0.43972510852681296,0.0,0.09139608797403549,True,False,True,0.3,0.0,0.09139608797403549,0.0,0.6086039120259644,0.0,0.0,0.0,0.0,
